Main,Main Sno,Secondary,Secondary S.no
TNR002,646,APR052,725
TNR008,647,APR052,725
TNR010,648,APR071,810
TNR012,649,APR071,810
TNR013,650,APR071,810
TNR018,651,KLR007,688
TNR019,652,KLR007,688
TNR023,653,KLR013,693
TNR024,654,KLR013,693
TNR027,655,KLR019,744
TNR028,656,KLR023,764
TNR029,657,KLR027,791
TNR030,658,KLR027,791
TNR032,659,KLR027,791
TNR036,660,KLR032,856
TNR038,661,KLR032,856
TNR039,662,KLR034,879
TNR043,663,KNR036,705
TNR045,664,KNR036,705
TNR046,665,KNR038,706
TNR049,666,KNR038,706
TNR050,667,KNR038,706
TNR051,668,KNR048,739
TNR058,669,KNR048,739
TNR060,670,KNR048,739
TNR061,671,KNR059,716
TNR063,672,KNR068,729
TNR064,673,KNR068,729
TNR066,674,KNR076,740
TNR067,675,KNR076,740
TNR068,676,KNR077,741
TNR069,677,KNR077,741
TNR074,678,KNR089,718
TNR086,679,KNR089,718
TNR087,680,KNR091,719
TNR088,681,KNR100,750
TNR089,682,KNR100,750
TNR092,683,KNR104,762
TNR097,684,KNR104,762
TNR098,685,KNR104,762
TNR101,686,KNR109,768
KLR005,687,KNR109,768
KLR007,688,KNR109,768
KLR009,689,KNR114,774
KLR010,690,KNR114,774
KLR011,691,KNR115,775
KLR012,692,KNR115,775
KLR013,693,KNR115,775
KLR017,694,KNR118,780
KNR004,695,KNR120,781
KNR005,696,KNR120,781
KNR008,697,KNR120,781
KNR009,698,KNR125,782
KNR013,699,KNR128,788
KNR020,700,KNR128,788
KNR023,701,KNR128,788
KNR029,702,KNR133,800
KNR032,703,KNR134,801
KNR033,704,KNR134,801
KNR036,705,KNR134,801
KNR038,706,KNR136,803
KNR040,707,KNR136,803
APR001,708,KNR143,817
KNR042,709,KNR143,817
KNR043,710,KNR147,855
KNR045,711,KNR147,855
KNR046,712,KNR147,855
KNR052,713,KNR148,860
KNR053,714,KNR148,860
KNR057,715,KNR148,860
KNR059,716,KNR150,863
KNR062,717,KNR150,863
KNR089,718,KNR150,863
KNR091,719,KNR151,864
KNR092,720,KNR158,897
APR037,721,PYR001,824
APR040,722,PYR001,824
APR050,723,TGR009,832
APR051,724,TGR012,834
APR052,725,TGR012,834
TNR100,726,TGR012,834
TNR093,727,TGR015,836
KNR067,728,TGR015,836
KNR068,729,TGR021,839
KNR069,730,TGR022,840
KLR002,731,TGR024,841
TNR033,732,TGR025,842
TNR009,733,TGR025,842
KNR071,734,TGR025,842
APR055,735,TGR028,845
TNR076,736,TGR028,845
TNR078,737,TGR028,845
KNR074,738,TNR018,651
KNR048,739,TNR018,651
KNR076,740,TNR023,653
KNR077,741,TNR023,653
TNR080,742,TNR024,654
TNR084,743,TNR024,654
KLR019,744,TNR024,654
TNR094,745,TNR043,663
TNR103,746,TNR043,663
TNR104,747,TNR060,670
TNR109,748,TNR060,670
TNR111,749,TNR060,670
KNR100,750,TNR078,737
KNR097,751,TNR080,742
KLR021,752,TNR080,742
KLR022,753,TNR080,742
KNR098,754,TNR087,680
TNR114,755,TNR087,680
KNR099,756,TNR087,680
KNR101,757,TNR094,745
TNR115,758,TNR094,745
TNR001,759,TNR098,685
TNR119,760,TNR098,685
KNR103,761,TNR103,746
KNR104,762,TNR103,746
TNR124,763,TNR103,746
KLR023,764,TNR109,748
TNR126,765,TNR109,748
TNR127,766,TNR109,748
KNR108,767,TNR111,749
KNR109,768,TNR111,749
TNR130,769,TNR126,765
TNR132,770,TNR138,778
KNR113,771,TNR138,778
TNR134,772,TNR150,794
TNR133,773,TNR150,794
KNR114,774,TNR151,795
KNR115,775,TNR152,797
TNR136,776,TNR154,802
TNR137,777,TNR156,805
TNR138,778,TNR156,805
KLR026,779,TNR156,805
KNR118,780,TNR158,808
KNR120,781,TNR158,808
KNR125,782,TNR158,808
APR069,783,TNR161,812
TNR145,784,TNR161,812
KNR126,785,TNR161,812
KNR127,786,TNR163,818
TNR147,787,TNR163,818
KNR128,788,TNR164,819
KNR129,789,TNR165,821
TNR148,790,TNR165,821
KLR027,791,TNR165,821
KLR028,792,TNR171,857
KLR029,793,TNR171,857
TNR150,794,TNR171,857
TNR151,795,TNR175,868
KNR131,796,TNR175,868
TNR152,797,TNR176,869
TNR153,798,TNR176,869
KLR030,799,TNR182,888
KNR133,800,,
KNR134,801,,
TNR154,802,,
KNR136,803,,
TNR155,804,,
TNR156,805,,
TNR157,806,,
KNR138,807,,
TNR158,808,,
TNR159,809,,
APR071,810,,
TNR160,811,,
TNR161,812,,
KNR141,813,,
KNR142,814,,
KLR031,815,,
TNR162,816,,
KNR143,817,,
TNR163,818,,
TNR164,819,,
KNR145,820,,
TNR165,821,,
KNR146,822,,
TNR166,823,,
PYR001,824,,
PYR002,825,,
TGR002,826,,
TGR003,827,,
TGR005,828,,
TGR006,829,,
TGR007,830,,
TGR008,831,,
TGR009,832,,
TGR010,833,,
TGR012,834,,
TGR014,835,,
TGR015,836,,
TGR019,837,,
TGR020,838,,
TGR021,839,,
TGR022,840,,
TGR024,841,,
TGR025,842,,
TGR026,843,,
TGR027,844,,
TGR028,845,,
TGR029,846,,
TGR031,847,,
TGR034,848,,
TGR035,849,,
TNR167,850,,
TNR168,851,,
TGR036,852,,
TNR169,853,,
TNR170,854,,
KNR147,855,,
KLR032,856,,
TNR171,857,,
TGR037,858,,
TGR038,859,,
KNR148,860,,
TNR172,861,,
KNR149,862,,
KNR150,863,,
KNR151,864,,
TNR173,865,,
KLR033,866,,
TNR174,867,,
TNR175,868,,
TNR176,869,,
TNR177,870,,
TNR178,871,,
KNR153,872,,
APR074,873,,
KNR154,874,,
TGR039,875,,
KNR155,876,,
TGR040,877,,
KNR156,878,,
KLR034,879,,
TGR041,880,,
TNR179,881,,
KLR035,882,,
TNR180,883,,
TNR181,884,,
KLR036,885,,
KLR037,886,,
KLR038,887,,
TNR182,888,,
TGR042,889,,
TNR183,890,,
KLR039,891,,
TNR184,892,,
APR075,893,,
TNR185,894,,
KNR157,895,,
TGR043,896,,
KNR158,897,,
KLR040,898,,
KNR159,899,,
KNR160,900,,
TNR186,901,,
APR076,902,,
APR077,903,,
TNR187,904,,
TNR188,905,,
TGR044,906,,
TNR189,907,,
TNR190,908,,
TGR045,909,,
TNR191,910,,
TNR192,911,,
KNR161,912,,
TNR193,913,,
KNR162,914,,
KNR163,915,,
TNR194,916,,
TNR195,917,,
KLR041,918,,
KNR164,919,,
TNR196,920,,
TNR197,921,,
KNR165,922,,
KNR166,923,,
TNR198,924,,
KNR167,925,,
KNR168,926,,
KNR169,927,,
KLR042,928,,
TNR199,929,,
